typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,Class_InductiveSensor,,,,,,_0cfZkBHkEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,DI_WPMetallic,,Boolean,,,,_6nGhsBHkEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackToinductiveSensor,,,,,,,
Property,name,inductiveSensor,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_L4sI0BHmEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackToinductiveSensor,_P1xSIBHVEeaen93uATCTQQ,,,,,,_0cfZkBHkEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_OpticalSensor,,,,,,_N2lOUBHlEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,DI_WPLight,,Boolean,,,,_VqhEsBHlEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackToopticalSensor,,,,,,,
Property,name,opticalSensor,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_MmUq4BHmEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackToopticalSensor,_P1xSIBHVEeaen93uATCTQQ,,,,,,_N2lOUBHlEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_WeightModule,,,,,,_A0oVwNyaEea2-snvt7IG-A,
SubmodelElementCollection,Properties,,,,,,,
Property,AI_WPWeight,,EInt,,,,_FYW_oNyaEea2-snvt7IG-A,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackToweightModule,,,,,,,
Property,name,weightModule,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_ebOnMNyaEea2-snvt7IG-A,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackToweightModule,_P1xSIBHVEeaen93uATCTQQ,,,,,,_A0oVwNyaEea2-snvt7IG-A
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,BlockDefinitionDiagram_Crane,,,,,,,
SubmodelElementCollection,Class_Crane,,,,,,_uUK40BHWEeaE9dGXaplL2g,
SubmodelElementCollection,Properties,,,,,,,
Property,InitCompleted,,Boolean,,,,_nmfocBHtEeaIeI6F5gdpJg,
Property,AutomaticExecuteCompleted,,Boolean,,,,_hDjIAGRvEeaP7aiWefDRgg,
Property,LSC_AllowedToOperate,,Boolean,,,,_KdDcQGRvEeaP7aiWefDRgg,
Property,Stamp_AllowedToOperate,,Boolean,,,,_Mcu1AGRvEeaP7aiWefDRgg,
Property,SoftwareEmergency,,Boolean,,,,_RT3acDkqEeaKtZr8UL9QRw,
Property,EmergencyHandled,,Boolean,,,,_RNhlUGSBEeaP7aiWefDRgg,
Property,WPPickedUp,,Boolean,,,,_svhXwBHtEeaIeI6F5gdpJg,
Property,WPPutDown,,Boolean,,,,_WbZgELYdEeaPAdOs73iMYQ,
Property,ReachedStack,,Boolean,,,,_qI4ssBHtEeaIeI6F5gdpJg,
Property,ReachedConveyor,,Boolean,,,,_VDiYULepEeaN5KNu953fkQ,
Property,ReachedStamp,,Boolean,,,,_WzTFwLepEeaN5KNu953fkQ,
Property,WPType,,,,,,_c0WkAKdoEeaW3-nj19_RIA,
Property,WPWeight,,,,,,_KJNisNyeEea2-snvt7IG-A,
Property,Check_Stack_WPProvided,,Boolean,,,,_dfRX0NgREeaLleG51tH3Eg,
Property,Check_Stack_WPType,,,,,,_hASngNgREeaLleG51tH3Eg,
Property,Check_LargeSortingConveyor_IsSorting,,Boolean,,,,_lOg7cNgREeaLleG51tH3Eg,
Property,Check_LargeSortingConveyor_AutomaticExecuteCompleted,,Boolean,,,,_n4o_YNgREeaLleG51tH3Eg,
Property,Check_Stamp_IsStamping,,Boolean,,,,_rR72cNgREeaLleG51tH3Eg,
Property,Check_Stamp_WPAvailable,,Boolean,,,,_ts8gUNgREeaLleG51tH3Eg,
Property,Check_Stamp_AutomaticExecuteCompleted,,Boolean,,,,_xWZ6UNgREeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_MoveToConveyor,,,,,,_WWsH0BHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_MoveToStack,,,,,,_YcA1kBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_MoveToStamp,,,,,,_aKd7cBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_PickUpWP,,,,,,_N0_MgBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_PutDownWP,,,,,,_PlTTkBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_Init,,,,,,_2kTUQBHcEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_-RAg0EgMEeavyPrpKniqtA,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_RL298EmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_CraneToliftingCylinder,,,,,,,
Property,name,liftingCylinder,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_e-XNoBHwEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_CraneToliftingCylinder,_uUK40BHWEeaE9dGXaplL2g,,,,,,_EXgWsBHjEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_VacuumGripper,,,,,,_ULOtIBHuEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
