xmi:type,name,xmi:id,description
Pseudostate,Pseudostatej30nUCZyEeagIsaxH253Xw,_j30nUCZyEeagIsaxH253Xw,
State,TurnConveyorOn,_o4GqUCZyEeagIsaxH253Xw,TurnConveyorOn
OpaqueBehavior,OpaqueBehaviorOfTurnConveyorOn,_wnUYwCZyEeagIsaxH253Xw,motor.ACT_TurnClockwise()
State,TurnConveyorOf,_VF9gECZzEeagIsaxH253Xw,TurnConveyorOf
OpaqueBehavior,OpaqueBehaviorOfTurnConveyorOf,_asBwsCZzEeagIsaxH253Xw,motor.ACT_Stop()
FinalState,FinalStatehjCEwCZzEeagIsaxH253Xw,_hjCEwCZzEeagIsaxH253Xw,
State,InitCompleted,_FNhU0DeXEeaEJ7sHqHqVdA,InitCompleted
OpaqueBehavior,OpaqueBehaviorOfInitCompleted,_T9LAIDeXEeaEJ7sHqHqVdA,Now(InitCompleted)
StateMachine,LargeSortingConveoyotACTAutomaticExecute,_4HtGgGR3EeaP7aiWefDRgg,LargeSortingConveoyot_ACT_AutomaticExecute
Transition,CheckAllowedToOperateANDNOTAutomaticExecuteCompleted,_Zi1kEGR5EeaP7aiWefDRgg,[Check_Allowed_To_Operate AND NOT AutomaticExecuteCompleted]
Transition,WPSorted,_47iFQGR5EeaP7aiWefDRgg,[WPSorted]
Transition,AuotmaticExecuteCompleted,__eXgIGR5EeaP7aiWefDRgg,[AuotmaticExecuteCompleted]
Transition,CheckAllowedToOperateANDafterT500ms,_PQET4NghEeaLleG51tH3Eg,[Check_Allowed_To_Operate AND after(T#500ms)]
